name|city|address|phone#|dayoff|description
bún mắm 444|Sài Gòn|375 Lê Quang Định, Phường 5, Bình Thạnh|090 390 33 38||nước hơi ngọt
Al Fresco|Sài Gòn|31 Bis Mạc Đĩnh Chi, Đa Kao, Quận 1|+84 28 3823 8427||pizza seafood deluxe ngon
Bò Sinh Đôi|Sài Gòn|192 Phan Xích Long, phường 02, Phú Nhuận|+84 28 3517 2333||
ABC|Sài Gòn|192 Phan Xích Long, phường 02, Phú Nhuận|+84 28 3517 2333||
DEF|Sài Gòn|192 Phan Xích Long, phường 02, Phú Nhuận|+84 28 3517 2333||
GHI|Sài Gòn|192 Phan Xích Long, phường 02, Phú Nhuận|+84 28 3517 2333||
JKL|Sài Gòn|192 Phan Xích Long, phường 02, Phú Nhuận|+84 28 3517 2333||
MNO|Sài Gòn|192 Phan Xích Long, phường 02, Phú Nhuận|+84 28 3517 2333||
PQR|Sài Gòn|192 Phan Xích Long, phường 02, Phú Nhuận|+84 28 3517 2333||
STU|Sài Gòn|192 Phan Xích Long, phường 02, Phú Nhuận|+84 28 3517 2333||
VWX|Sài Gòn|192 Phan Xích Long, phường 02, Phú Nhuận|+84 28 3517 2333||
YZO|Sài Gòn|192 Phan Xích Long, phường 02, Phú Nhuận|+84 28 3517 2333||
